Scale,Dataset,Image,Method,PSNR,SSIM
2x,BSDS100,101085.png,bicubic,26.94639969,0.7783275843
2x,BSDS100,101087.png,bicubic,31.55378723,0.9118108153
2x,BSDS100,102061.png,bicubic,30.0892868,0.9068000317
2x,BSDS100,103070.png,bicubic,34.87725449,0.944722712
2x,BSDS100,105025.png,bicubic,30.09449005,0.8760183454
2x,BSDS100,106024.png,bicubic,36.37102127,0.9452953339
2x,BSDS100,108005.png,bicubic,30.77965927,0.9048696756
2x,BSDS100,108070.png,bicubic,27.07462502,0.8244350553
2x,BSDS100,108082.png,bicubic,31.39608192,0.9050229788
2x,BSDS100,109053.png,bicubic,33.06673813,0.9161208272
2x,BSDS100,119082.png,bicubic,27.51252747,0.8614139557
2x,BSDS100,12084.png,bicubic,32.04977036,0.8983097076
2x,BSDS100,123074.png,bicubic,34.46029663,0.9307028055
2x,BSDS100,126007.png,bicubic,32.77226257,0.9173285961
2x,BSDS100,130026.png,bicubic,29.0717411,0.8634701371
2x,BSDS100,134035.png,bicubic,28.97647858,0.9017780423
2x,BSDS100,14037.png,bicubic,37.24586105,0.9473297
2x,BSDS100,143090.png,bicubic,36.96941376,0.9567462206
2x,BSDS100,145086.png,bicubic,28.67484665,0.8506964445
2x,BSDS100,147091.png,bicubic,30.04255486,0.9033318162
2x,BSDS100,148026.png,bicubic,25.58937836,0.8434157968
2x,BSDS100,148089.png,bicubic,27.3352623,0.8290477991
2x,BSDS100,156065.png,bicubic,28.84556198,0.7873350382
2x,BSDS100,157055.png,bicubic,29.91396141,0.9073613286
2x,BSDS100,159008.png,bicubic,31.1135788,0.9249743819
2x,BSDS100,160068.png,bicubic,31.72600746,0.9365649223
2x,BSDS100,16077.png,bicubic,31.66513443,0.8837714791
2x,BSDS100,163085.png,bicubic,33.61051941,0.9208225608
2x,BSDS100,167062.png,bicubic,34.20555115,0.9440406561
2x,BSDS100,167083.png,bicubic,23.73523903,0.7435795069
2x,BSDS100,170057.png,bicubic,34.17757416,0.9344112277
2x,BSDS100,175032.png,bicubic,24.60757065,0.7179034352
2x,BSDS100,175043.png,bicubic,29.56985664,0.87186867
2x,BSDS100,182053.png,bicubic,27.69414902,0.876185894
2x,BSDS100,189080.png,bicubic,36.72397232,0.952398181
2x,BSDS100,19021.png,bicubic,30.83781052,0.879610002
2x,BSDS100,196073.png,bicubic,31.3973999,0.7399520874
2x,BSDS100,197017.png,bicubic,31.20471001,0.8499326706
2x,BSDS100,208001.png,bicubic,32.41252518,0.8986765742
2x,BSDS100,210088.png,bicubic,36.21101761,0.9707124829
2x,BSDS100,21077.png,bicubic,30.1139679,0.8725612164
2x,BSDS100,216081.png,bicubic,28.98500824,0.8482537866
2x,BSDS100,219090.png,bicubic,30.26127243,0.8804191351
2x,BSDS100,220075.png,bicubic,31.25144577,0.9445543289
2x,BSDS100,223061.png,bicubic,28.25756836,0.838799119
2x,BSDS100,227092.png,bicubic,37.90920258,0.9415745139
2x,BSDS100,229036.png,bicubic,26.68035316,0.8256035447
2x,BSDS100,236037.png,bicubic,29.01274109,0.8491995931
2x,BSDS100,24077.png,bicubic,30.06847382,0.940689683
2x,BSDS100,241004.png,bicubic,35.61521912,0.924080193
2x,BSDS100,241048.png,bicubic,28.78873062,0.8184913397
2x,BSDS100,253027.png,bicubic,26.72053909,0.861713469
2x,BSDS100,253055.png,bicubic,35.85663223,0.9220318794
2x,BSDS100,260058.png,bicubic,36.43318558,0.913086772
2x,BSDS100,271035.png,bicubic,31.27871704,0.8989199996
2x,BSDS100,285079.png,bicubic,28.98912239,0.858381331
2x,BSDS100,291000.png,bicubic,24.56627083,0.6915647984
2x,BSDS100,295087.png,bicubic,31.05284691,0.8657599092
2x,BSDS100,296007.png,bicubic,35.23528671,0.8995081782
2x,BSDS100,296059.png,bicubic,33.54262924,0.8849743605
2x,BSDS100,299086.png,bicubic,35.44371414,0.9119794965
2x,BSDS100,300091.png,bicubic,32.32239151,0.8995165229
2x,BSDS100,302008.png,bicubic,35.3983078,0.9755660892
2x,BSDS100,304034.png,bicubic,28.06279755,0.8638665676
2x,BSDS100,304074.png,bicubic,29.65395355,0.820563674
2x,BSDS100,306005.png,bicubic,32.17170334,0.9112198949
2x,BSDS100,3096.png,bicubic,41.18748093,0.9872409105
2x,BSDS100,33039.png,bicubic,25.0894146,0.8142392039
2x,BSDS100,351093.png,bicubic,26.17821884,0.8250768781
2x,BSDS100,361010.png,bicubic,32.13866806,0.9161637425
2x,BSDS100,37073.png,bicubic,32.73788452,0.8921492696
2x,BSDS100,376043.png,bicubic,29.34194374,0.8246587515
2x,BSDS100,38082.png,bicubic,31.2636013,0.8266004324
2x,BSDS100,38092.png,bicubic,29.72573853,0.8536500931
2x,BSDS100,385039.png,bicubic,27.42569351,0.8388157487
2x,BSDS100,41033.png,bicubic,32.63829041,0.8998446465
2x,BSDS100,41069.png,bicubic,27.14159393,0.7578270435
2x,BSDS100,42012.png,bicubic,33.30927658,0.9159115553
2x,BSDS100,42049.png,bicubic,32.93867111,0.9633083344
2x,BSDS100,43074.png,bicubic,34.12556839,0.9228215814
2x,BSDS100,45096.png,bicubic,39.4242897,0.9695903659
2x,BSDS100,54082.png,bicubic,31.88486099,0.8511862159
2x,BSDS100,55073.png,bicubic,25.66631699,0.7720820308
2x,BSDS100,58060.png,bicubic,24.99310493,0.7932304144
2x,BSDS100,62096.png,bicubic,28.10070992,0.880543232
2x,BSDS100,65033.png,bicubic,28.65254974,0.8201694489
2x,BSDS100,66053.png,bicubic,30.6884346,0.8596539497
2x,BSDS100,69015.png,bicubic,34.51635742,0.9262942672
2x,BSDS100,69020.png,bicubic,30.72317505,0.7846862078
2x,BSDS100,69040.png,bicubic,29.28096771,0.860879004
2x,BSDS100,76053.png,bicubic,33.3032341,0.8825955391
2x,BSDS100,78004.png,bicubic,29.15065765,0.8615873456
2x,BSDS100,8023.png,bicubic,35.92281723,0.9623039961
2x,BSDS100,85048.png,bicubic,29.49979401,0.8797853589
2x,BSDS100,86000.png,bicubic,29.64855385,0.9022445679
2x,BSDS100,86016.png,bicubic,25.12937927,0.6110334992
2x,BSDS100,86068.png,bicubic,30.54901314,0.7816026807
2x,BSDS100,87046.png,bicubic,30.38333702,0.9072883129
2x,BSDS100,89072.png,bicubic,30.34354019,0.8726541996
2x,BSDS100,97033.png,bicubic,28.48280716,0.871260047
2x,Manga109,AisazuNihaIrarenai.png,bicubic,34.46032333,0.9211032987
2x,Manga109,AkkeraKanjinchou.png,bicubic,29.48862457,0.9251369834
2x,Manga109,Akuhamu.png,bicubic,38.40826416,0.9760937095
2x,Manga109,AosugiruHaru.png,bicubic,37.14004517,0.9810103178
2x,Manga109,AppareKappore.png,bicubic,31.30176926,0.9443903565
2x,Manga109,Arisa.png,bicubic,33.40175629,0.9677154422
2x,Manga109,ARMS.png,bicubic,30.62940979,0.8956243992
2x,Manga109,BakuretsuKungFuGirl.png,bicubic,30.95755005,0.9451701641
2x,Manga109,Belmondo.png,bicubic,30.09254074,0.9280123711
2x,Manga109,BEMADER_P.png,bicubic,27.527668,0.9227457643
2x,Manga109,BokuHaSitatakaKun.png,bicubic,29.97450638,0.9544738531
2x,Manga109,BurariTessenTorimonocho.png,bicubic,29.87613297,0.9289388061
2x,Manga109,ByebyeC-BOY.png,bicubic,32.64076996,0.9650444984
2x,Manga109,Count3DeKimeteAgeru.png,bicubic,30.75009918,0.9338524938
2x,Manga109,DollGun.png,bicubic,30.97651482,0.9483674765
2x,Manga109,Donburakokko.png,bicubic,29.60943985,0.9395583868
2x,Manga109,DualJustice.png,bicubic,30.30091476,0.9542346597
2x,Manga109,EienNoWith.png,bicubic,34.72024155,0.9827050567
2x,Manga109,EvaLady.png,bicubic,32.71782303,0.9464797974
2x,Manga109,EverydayOsakanaChan.png,bicubic,32.89071655,0.97732234
2x,Manga109,GakuenNoise.png,bicubic,32.00521088,0.9558628798
2x,Manga109,GarakutayaManta.png,bicubic,31.11570549,0.9423264861
2x,Manga109,GinNoChimera.png,bicubic,35.15560532,0.9755185246
2x,Manga109,GOOD_KISS_Ver2.png,bicubic,32.55436325,0.9538314342
2x,Manga109,Hamlet.png,bicubic,28.63514328,0.9578456879
2x,Manga109,HanzaiKousyouninMinegishiEitarou.png,bicubic,32.19353104,0.9606686831
2x,Manga109,HaruichibanNoFukukoro.png,bicubic,36.55409241,0.981875658
2x,Manga109,HarukaRefrain.png,bicubic,33.56805801,0.9625380039
2x,Manga109,HealingPlanet.png,bicubic,33.42948532,0.9719331264
2x,Manga109,HeiseiJimen.png,bicubic,32.65840912,0.959818542
2x,Manga109,HighschoolKimengumi_vol01.png,bicubic,27.50290298,0.9481824636
2x,Manga109,HighschoolKimengumi_vol20.png,bicubic,27.82928467,0.9374454021
2x,Manga109,HinagikuKenzan.png,bicubic,34.14604187,0.9452552199
2x,Manga109,HisokaReturns.png,bicubic,30.32999802,0.8638365269
2x,Manga109,JangiriPonpon.png,bicubic,28.97614479,0.9315891266
2x,Manga109,JijiBabaFight.png,bicubic,32.77565765,0.9513812661
2x,Manga109,Joouari.png,bicubic,28.42412949,0.8922653198
2x,Manga109,Jyovolley.png,bicubic,33.31124878,0.9723987579
2x,Manga109,KarappoHighschool.png,bicubic,35.50770187,0.9723756313
2x,Manga109,KimiHaBokuNoTaiyouDa.png,bicubic,28.4329052,0.911016345
2x,Manga109,KoukouNoHitotachi.png,bicubic,31.13311958,0.9129410386
2x,Manga109,KuroidoGanka.png,bicubic,33.073349,0.9529580474
2x,Manga109,KyokugenCyclone.png,bicubic,23.35766983,0.8427772522
2x,Manga109,LancelotFullThrottle.png,bicubic,35.96999741,0.9821624756
2x,Manga109,LoveHina_vol01.png,bicubic,26.18379974,0.9329693317
2x,Manga109,LoveHina_vol14.png,bicubic,30.03041077,0.9397044778
2x,Manga109,MAD_STONE.png,bicubic,35.14154053,0.962489903
2x,Manga109,MadouTaiga.png,bicubic,27.98843002,0.9071586132
2x,Manga109,MagicianLoad.png,bicubic,28.38108444,0.8432111144
2x,Manga109,MagicStarGakuin.png,bicubic,30.12979317,0.9418239594
2x,Manga109,MariaSamaNihaNaisyo.png,bicubic,29.85634232,0.9533337951
2x,Manga109,MayaNoAkaiKutsu.png,bicubic,33.37909317,0.9606708288
2x,Manga109,MemorySeijin.png,bicubic,39.94787598,0.9562556148
2x,Manga109,MeteoSanStrikeDesu.png,bicubic,34.85396194,0.9708283544
2x,Manga109,MiraiSan.png,bicubic,25.38991928,0.8522670865
2x,Manga109,MisutenaideDaisy.png,bicubic,33.75429153,0.9751067758
2x,Manga109,MoeruOnisan_vol01.png,bicubic,30.54614067,0.958620131
2x,Manga109,MoeruOnisan_vol19.png,bicubic,31.77302361,0.9536587596
2x,Manga109,MomoyamaHaikagura.png,bicubic,25.43264771,0.8280672431
2x,Manga109,MukoukizuNoChonbo.png,bicubic,33.12611389,0.9745876789
2x,Manga109,MutekiBoukenSyakuma.png,bicubic,32.66243362,0.9669228196
2x,Manga109,Nekodama.png,bicubic,30.32848167,0.9520998597
2x,Manga109,NichijouSoup.png,bicubic,34.68339539,0.9733330011
2x,Manga109,Ningyoushi.png,bicubic,35.08782959,0.9554647803
2x,Manga109,OhWareraRettouSeitokai.png,bicubic,32.87870026,0.9647046328
2x,Manga109,OL_Lunch.png,bicubic,25.3977108,0.9224158525
2x,Manga109,ParaisoRoad.png,bicubic,32.03858948,0.9537622929
2x,Manga109,PikaruGenkiDesu.png,bicubic,29.3537426,0.9380044937
2x,Manga109,PLANET7.png,bicubic,33.02396393,0.9556668997
2x,Manga109,PlatinumJungle.png,bicubic,30.32827568,0.949297905
2x,Manga109,PrayerHaNemurenai.png,bicubic,29.41562271,0.8011177182
2x,Manga109,PrismHeart.png,bicubic,34.92042542,0.9737936258
2x,Manga109,PsychoStaff.png,bicubic,34.83248138,0.9679264426
2x,Manga109,Raphael.png,bicubic,30.64393234,0.9490103126
2x,Manga109,ReveryEarth.png,bicubic,30.4486866,0.9303831458
2x,Manga109,RinToSiteSippuNoNaka.png,bicubic,31.47788239,0.9635657072
2x,Manga109,RisingGirl.png,bicubic,32.50529861,0.9556512237
2x,Manga109,Saisoku.png,bicubic,28.12137794,0.8726966381
2x,Manga109,SaladDays_vol01.png,bicubic,31.84209633,0.9530621767
2x,Manga109,SaladDays_vol18.png,bicubic,32.82252502,0.9614671469
2x,Manga109,SamayoeruSyonenNiJunaiWo.png,bicubic,31.29307556,0.9223209023
2x,Manga109,SeisinkiVulnus.png,bicubic,33.54061508,0.9471526742
2x,Manga109,ShimatteIkouze_vol01.png,bicubic,31.75538254,0.9695138335
2x,Manga109,ShimatteIkouze_vol26.png,bicubic,28.39812469,0.9584602118
2x,Manga109,SonokiDeABC.png,bicubic,33.08515167,0.9571964145
2x,Manga109,SyabondamaKieta.png,bicubic,30.19316864,0.9319525361
2x,Manga109,TaiyouNiSmash.png,bicubic,35.98004913,0.9684580564
2x,Manga109,TapkunNoTanteisitsu.png,bicubic,33.39220428,0.9685409665
2x,Manga109,TasogareTsushin.png,bicubic,30.50250244,0.942964375
2x,Manga109,TennenSenshiG.png,bicubic,25.12247849,0.8878272176
2x,Manga109,TensiNoHaneToAkumaNoShippo.png,bicubic,29.53434944,0.9304190278
2x,Manga109,TetsuSan.png,bicubic,26.95257378,0.954546392
2x,Manga109,ThatsIzumiko_000.png,bicubic,22.28005981,0.8148020506
2x,Manga109,TotteokiNoABC.png,bicubic,34.29336548,0.9719163179
2x,Manga109,ToutaMairimasu.png,bicubic,27.06624603,0.9203757048
2x,Manga109,TouyouKidan.png,bicubic,29.45473099,0.9380362034
2x,Manga109,TsubasaNoKioku.png,bicubic,34.76371002,0.9444945455
2x,Manga109,UchiNoNyansDiary_000.png,bicubic,28.12841606,0.9578686953
2x,Manga109,UchuKigekiM774.png,bicubic,28.47432899,0.8655734658
2x,Manga109,UltraEleven.png,bicubic,24.28995132,0.901427567
2x,Manga109,UnbalanceTokyo.png,bicubic,29.23699951,0.9391248226
2x,Manga109,WarewareHaOniDearu.png,bicubic,28.9214859,0.9449765682
2x,Manga109,YamatoNoHane.png,bicubic,36.27669907,0.9816824198
2x,Manga109,YasasiiAkuma.png,bicubic,30.66670609,0.9460360408
2x,Manga109,YouchienBoueigumi.png,bicubic,28.87708855,0.9511766434
2x,Manga109,YoumaKourin.png,bicubic,30.80625916,0.9305906296
2x,Manga109,YukiNoFuruMachi.png,bicubic,38.73118973,0.9711564779
2x,Manga109,YumeiroCooking.png,bicubic,31.52837372,0.956735611
2x,Manga109,YumeNoKayoiji.png,bicubic,34.12673569,0.9360931516
2x,Set14,baboon.png,bicubic,24.69223022,0.694886148
2x,Set14,barbara.png,bicubic,27.97691345,0.8437446356
2x,Set14,bridge.png,bicubic,27.85480499,0.8023523688
2x,Set14,coastguard.png,bicubic,29.17385483,0.7945606112
2x,Set14,comic.png,bicubic,26.58921242,0.8661037087
2x,Set14,face.png,bicubic,34.92713165,0.8639816046
2x,Set14,flowers.png,bicubic,30.46614838,0.9008570313
2x,Set14,foreman.png,bicubic,32.65245819,0.9451526403
2x,Set14,lenna.png,bicubic,34.77167892,0.9125354886
2x,Set14,man.png,bicubic,29.30549812,0.8469408751
2x,Set14,monarch.png,bicubic,33.0170784,0.9605500102
2x,Set14,pepper.png,bicubic,33.04771805,0.9029417038
2x,Set14,ppt3.png,bicubic,27.75826645,0.9552574158
2x,Set14,zebra.png,bicubic,31.27509689,0.9154086709
2x,Set5,baby.png,bicubic,37.14876556,0.953306675
2x,Set5,bird.png,bicubic,36.77095032,0.9720929265
2x,Set5,butterfly.png,bicubic,27.50091171,0.9156841636
2x,Set5,head.png,bicubic,34.94879913,0.8639639616
2x,Set5,woman.png,bicubic,32.1990509,0.9479038119
2x,Urban100,img_001.png,bicubic,28.21141052,0.8233986497
2x,Urban100,img_002.png,bicubic,27.75563431,0.8666548729
2x,Urban100,img_003.png,bicubic,24.88321686,0.7703903317
2x,Urban100,img_004.png,bicubic,26.14698792,0.8983340263
2x,Urban100,img_005.png,bicubic,28.41542053,0.9484291673
2x,Urban100,img_006.png,bicubic,23.62638283,0.7240659595
2x,Urban100,img_007.png,bicubic,31.41667938,0.9278920889
2x,Urban100,img_008.png,bicubic,22.93113327,0.7691500187
2x,Urban100,img_009.png,bicubic,35.01597977,0.9413346052
2x,Urban100,img_010.png,bicubic,26.39545822,0.8851734996
2x,Urban100,img_011.png,bicubic,20.73382378,0.8390812278
2x,Urban100,img_012.png,bicubic,25.34230804,0.8040025234
2x,Urban100,img_013.png,bicubic,30.09341049,0.8792088032
2x,Urban100,img_014.png,bicubic,23.22976303,0.7486658692
2x,Urban100,img_015.png,bicubic,25.93256187,0.7655425668
2x,Urban100,img_016.png,bicubic,29.77752876,0.9224368334
2x,Urban100,img_017.png,bicubic,27.32769012,0.8832908273
2x,Urban100,img_018.png,bicubic,28.34927559,0.8340463042
2x,Urban100,img_019.png,bicubic,22.68044281,0.8469856977
2x,Urban100,img_020.png,bicubic,24.37849426,0.8320243359
2x,Urban100,img_021.png,bicubic,31.93886948,0.8753154874
2x,Urban100,img_022.png,bicubic,27.62343597,0.8325799108
2x,Urban100,img_023.png,bicubic,31.47361946,0.935543716
2x,Urban100,img_024.png,bicubic,22.21780014,0.7565503716
2x,Urban100,img_025.png,bicubic,29.72190475,0.9043055177
2x,Urban100,img_026.png,bicubic,27.89391708,0.7242546678
2x,Urban100,img_027.png,bicubic,29.3837204,0.8540989757
2x,Urban100,img_028.png,bicubic,32.46727753,0.9119414091
2x,Urban100,img_029.png,bicubic,26.0700779,0.8612139821
2x,Urban100,img_030.png,bicubic,25.64781952,0.8592584133
2x,Urban100,img_031.png,bicubic,25.95727158,0.8585449457
2x,Urban100,img_032.png,bicubic,29.62162399,0.8863071203
2x,Urban100,img_033.png,bicubic,27.08616257,0.8189881444
2x,Urban100,img_034.png,bicubic,24.34438324,0.7086327672
2x,Urban100,img_035.png,bicubic,26.76340866,0.8697912693
2x,Urban100,img_036.png,bicubic,29.58350372,0.9176371694
2x,Urban100,img_037.png,bicubic,29.20480537,0.9093120694
2x,Urban100,img_038.png,bicubic,27.80446053,0.7607859969
2x,Urban100,img_039.png,bicubic,23.34251785,0.7660953999
2x,Urban100,img_040.png,bicubic,23.63121796,0.8864433765
2x,Urban100,img_041.png,bicubic,25.65624237,0.8830140829
2x,Urban100,img_042.png,bicubic,29.50868797,0.9137755632
2x,Urban100,img_043.png,bicubic,26.50808525,0.9168101549
2x,Urban100,img_044.png,bicubic,35.09107971,0.9501205683
2x,Urban100,img_045.png,bicubic,25.27576065,0.8105192184
2x,Urban100,img_046.png,bicubic,25.320158,0.8386242986
2x,Urban100,img_047.png,bicubic,23.00256729,0.8239722252
2x,Urban100,img_048.png,bicubic,21.72384071,0.8598268032
2x,Urban100,img_049.png,bicubic,24.25658035,0.8155249953
2x,Urban100,img_050.png,bicubic,27.12587547,0.8463928103
2x,Urban100,img_051.png,bicubic,29.30360985,0.9053680301
2x,Urban100,img_052.png,bicubic,27.73291779,0.8916006684
2x,Urban100,img_053.png,bicubic,23.75221634,0.8175531626
2x,Urban100,img_054.png,bicubic,22.72031021,0.7496483922
2x,Urban100,img_055.png,bicubic,30.57555962,0.93568331
2x,Urban100,img_056.png,bicubic,26.0844326,0.8435724378
2x,Urban100,img_057.png,bicubic,30.5104351,0.9170808792
2x,Urban100,img_058.png,bicubic,27.28989792,0.9078639746
2x,Urban100,img_059.png,bicubic,22.87501144,0.8029569387
2x,Urban100,img_060.png,bicubic,23.6949749,0.6875348687
2x,Urban100,img_061.png,bicubic,26.63412857,0.8384295702
2x,Urban100,img_062.png,bicubic,23.51744652,0.8552178741
2x,Urban100,img_063.png,bicubic,22.47603607,0.6684691906
2x,Urban100,img_064.png,bicubic,28.91428375,0.877735734
2x,Urban100,img_065.png,bicubic,27.91867828,0.8519251347
2x,Urban100,img_066.png,bicubic,23.96715164,0.7712161541
2x,Urban100,img_067.png,bicubic,20.9303112,0.8904207945
2x,Urban100,img_068.png,bicubic,31.9303627,0.9197307229
2x,Urban100,img_069.png,bicubic,26.35787773,0.8371273279
2x,Urban100,img_070.png,bicubic,23.44616127,0.7119621634
2x,Urban100,img_071.png,bicubic,28.76830292,0.7639207244
2x,Urban100,img_072.png,bicubic,20.44206429,0.8287677765
2x,Urban100,img_073.png,bicubic,23.38308716,0.7693701982
2x,Urban100,img_074.png,bicubic,25.06354904,0.7866474986
2x,Urban100,img_075.png,bicubic,30.65397453,0.8954907656
2x,Urban100,img_076.png,bicubic,26.05414963,0.8758974671
2x,Urban100,img_077.png,bicubic,24.24847412,0.7765938044
2x,Urban100,img_078.png,bicubic,29.95848083,0.8659205437
2x,Urban100,img_079.png,bicubic,27.21477127,0.7960281968
2x,Urban100,img_080.png,bicubic,37.07694244,0.9690312743
2x,Urban100,img_081.png,bicubic,34.20767212,0.9688631296
2x,Urban100,img_082.png,bicubic,33.14099121,0.9527799487
2x,Urban100,img_083.png,bicubic,23.50143433,0.7831469178
2x,Urban100,img_084.png,bicubic,30.79183578,0.88814044
2x,Urban100,img_085.png,bicubic,30.88993454,0.9458357096
2x,Urban100,img_086.png,bicubic,32.86508179,0.9338493943
2x,Urban100,img_087.png,bicubic,26.75190926,0.8867968321
2x,Urban100,img_088.png,bicubic,21.72901917,0.7161771059
2x,Urban100,img_089.png,bicubic,29.12178802,0.8350112438
2x,Urban100,img_090.png,bicubic,36.58358383,0.9697697163
2x,Urban100,img_091.png,bicubic,25.78540039,0.7921491861
2x,Urban100,img_092.png,bicubic,19.07680702,0.6654601693
2x,Urban100,img_093.png,bicubic,29.36851501,0.9398363233
2x,Urban100,img_094.png,bicubic,28.33170128,0.8479654789
2x,Urban100,img_095.png,bicubic,21.44957352,0.6117364764
2x,Urban100,img_096.png,bicubic,25.38143921,0.8715412617
2x,Urban100,img_097.png,bicubic,26.29455566,0.8314791322
2x,Urban100,img_098.png,bicubic,22.12109756,0.668464005
2x,Urban100,img_099.png,bicubic,25.93185043,0.8171406388
2x,Urban100,img_100.png,bicubic,25.54951859,0.7763091326
4x,BSDS100,101085.png,bicubic,23.62981606,0.5373694897
4x,BSDS100,101087.png,bicubic,27.45282745,0.7871844172
4x,BSDS100,102061.png,bicubic,26.42741013,0.7918322086
4x,BSDS100,103070.png,bicubic,30.08697128,0.8207063079
4x,BSDS100,105025.png,bicubic,26.10761833,0.6808750629
4x,BSDS100,106024.png,bicubic,31.92409325,0.8723877072
4x,BSDS100,108005.png,bicubic,25.44325638,0.6867493987
4x,BSDS100,108070.png,bicubic,23.40280533,0.5532202125
4x,BSDS100,108082.png,bicubic,26.7773037,0.7488412857
4x,BSDS100,109053.png,bicubic,28.82114792,0.7741568089
4x,BSDS100,119082.png,bicubic,22.68165207,0.6266528368
4x,BSDS100,12084.png,bicubic,26.71247864,0.6746021509
4x,BSDS100,123074.png,bicubic,29.29807281,0.7671492696
4x,BSDS100,126007.png,bicubic,28.25081253,0.7937942743
4x,BSDS100,130026.png,bicubic,25.08807945,0.6501430273
4x,BSDS100,134035.png,bicubic,22.9581871,0.6464373469
4x,BSDS100,14037.png,bicubic,32.70124435,0.8682679534
4x,BSDS100,143090.png,bicubic,31.79897118,0.8767495751
4x,BSDS100,145086.png,bicubic,25.01367378,0.6919751763
4x,BSDS100,147091.png,bicubic,25.80074692,0.7821771502
4x,BSDS100,148026.png,bicubic,21.20515442,0.5706601143
4x,BSDS100,148089.png,bicubic,23.12486649,0.5564705133
4x,BSDS100,156065.png,bicubic,25.72537994,0.5769069195
4x,BSDS100,157055.png,bicubic,25.73452187,0.731366396
4x,BSDS100,159008.png,bicubic,25.69403076,0.7513591647
4x,BSDS100,160068.png,bicubic,26.53949928,0.8107481599
4x,BSDS100,16077.png,bicubic,27.06280518,0.7015765905
4x,BSDS100,163085.png,bicubic,28.97364616,0.7790997028
4x,BSDS100,167062.png,bicubic,29.12964249,0.8689762354
4x,BSDS100,167083.png,bicubic,20.51765251,0.4728566408
4x,BSDS100,170057.png,bicubic,28.96088409,0.7813036442
4x,BSDS100,175032.png,bicubic,21.40600586,0.3789568245
4x,BSDS100,175043.png,bicubic,24.63955688,0.5990403891
4x,BSDS100,182053.png,bicubic,24.00385857,0.7086036205
4x,BSDS100,189080.png,bicubic,31.31455612,0.8783318996
4x,BSDS100,19021.png,bicubic,26.31697464,0.6972562075
4x,BSDS100,196073.png,bicubic,28.92193985,0.559406817
4x,BSDS100,197017.png,bicubic,27.69121361,0.6967980862
4x,BSDS100,208001.png,bicubic,27.59355545,0.6858109832
4x,BSDS100,210088.png,bicubic,29.53752518,0.8676890135
4x,BSDS100,21077.png,bicubic,25.65577316,0.7061884999
4x,BSDS100,216081.png,bicubic,25.32528877,0.6725546122
4x,BSDS100,219090.png,bicubic,26.27806854,0.7428730726
4x,BSDS100,220075.png,bicubic,26.11838341,0.818080008
4x,BSDS100,223061.png,bicubic,24.90535736,0.6337542534
4x,BSDS100,227092.png,bicubic,33.78652191,0.8636847138
4x,BSDS100,229036.png,bicubic,22.34662056,0.5567628741
4x,BSDS100,236037.png,bicubic,24.9818573,0.5957863927
4x,BSDS100,24077.png,bicubic,23.76269341,0.7708503008
4x,BSDS100,241004.png,bicubic,31.69830513,0.8316870928
4x,BSDS100,241048.png,bicubic,25.16400337,0.6019412279
4x,BSDS100,253027.png,bicubic,22.25460052,0.6657927632
4x,BSDS100,253055.png,bicubic,32.18955612,0.835255444
4x,BSDS100,260058.png,bicubic,32.77595901,0.8054225445
4x,BSDS100,271035.png,bicubic,26.28435516,0.7020213604
4x,BSDS100,285079.png,bicubic,24.47567368,0.6284757257
4x,BSDS100,291000.png,bicubic,21.85070992,0.3929397762
4x,BSDS100,295087.png,bicubic,27.67818069,0.7079703808
4x,BSDS100,296007.png,bicubic,32.11871338,0.7925860286
4x,BSDS100,296059.png,bicubic,30.16750717,0.7684743404
4x,BSDS100,299086.png,bicubic,31.93693161,0.8158577085
4x,BSDS100,300091.png,bicubic,28.27245331,0.7750809193
4x,BSDS100,302008.png,bicubic,27.69563293,0.9104306102
4x,BSDS100,304034.png,bicubic,24.0368576,0.6165493727
4x,BSDS100,304074.png,bicubic,25.60909462,0.5921341181
4x,BSDS100,306005.png,bicubic,27.52515793,0.7626370788
4x,BSDS100,3096.png,bicubic,35.76021957,0.9663273096
4x,BSDS100,33039.png,bicubic,20.80410194,0.5091322064
4x,BSDS100,351093.png,bicubic,22.85050201,0.6164179444
4x,BSDS100,361010.png,bicubic,26.88070488,0.7571690083
4x,BSDS100,37073.png,bicubic,28.87347221,0.7767325044
4x,BSDS100,376043.png,bicubic,25.26963806,0.5556678176
4x,BSDS100,38082.png,bicubic,27.62054062,0.6002655029
4x,BSDS100,38092.png,bicubic,25.98174858,0.6770157814
4x,BSDS100,385039.png,bicubic,23.3150692,0.640760839
4x,BSDS100,41033.png,bicubic,28.63855743,0.7594610453
4x,BSDS100,41069.png,bicubic,23.93244934,0.4533617198
4x,BSDS100,42012.png,bicubic,28.87863922,0.7778695226
4x,BSDS100,42049.png,bicubic,27.59623528,0.8914133906
4x,BSDS100,43074.png,bicubic,30.43901634,0.8086723089
4x,BSDS100,45096.png,bicubic,34.35705185,0.9283559322
4x,BSDS100,54082.png,bicubic,28.75328445,0.7119336128
4x,BSDS100,55073.png,bicubic,22.29807281,0.4888558388
4x,BSDS100,58060.png,bicubic,21.63762856,0.5558022857
4x,BSDS100,62096.png,bicubic,24.06681442,0.712410152
4x,BSDS100,65033.png,bicubic,24.81448746,0.5538178682
4x,BSDS100,66053.png,bicubic,27.10665703,0.6612673402
4x,BSDS100,69015.png,bicubic,29.27736473,0.7685852051
4x,BSDS100,69020.png,bicubic,27.50368309,0.5580720305
